metric,value
average_alignment_r2,0.9172662138938904
standard_error_alignment_r2,0.010042496400619038
average_alignment_normalized_mse,0.08273379281163215
standard_error_alignment_normalized_mse,0.010042497325541386
average_alignment_mse,0.08348007619380951
standard_error_alignment_mse,0.010460395929585208
average_alignment_shuffled_r2,-0.028657751493155956
standard_error_alignment_shuffled_r2,0.005049303436776929
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
