metric,value
average_alignment_r2,0.9181860709190368
standard_error_alignment_r2,0.008139447616336408
average_alignment_normalized_mse,0.08181392848491668
standard_error_alignment_normalized_mse,0.008139447358668119
average_alignment_mse,0.0822553588449955
standard_error_alignment_mse,0.008348216770094757
average_alignment_shuffled_r2,-0.02545493431389332
standard_error_alignment_shuffled_r2,0.004602095551060727
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
