metric,value
average_alignment_r2,0.7929514884948731
standard_error_alignment_r2,0.008997827193677761
average_alignment_normalized_mse,0.2070485109090805
standard_error_alignment_normalized_mse,0.008997826834978549
average_alignment_mse,0.20759118378162383
standard_error_alignment_mse,0.00938850382640031
average_alignment_shuffled_r2,-0.019072133116424084
standard_error_alignment_shuffled_r2,0.0008452161425162157
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
