metric,value
average_alignment_r2,0.8992009437084199
standard_error_alignment_r2,0.01866825577089603
average_alignment_normalized_mse,0.1007990625500679
standard_error_alignment_normalized_mse,0.01866825725096396
average_alignment_mse,0.10338024586439133
standard_error_alignment_mse,0.020431122129648826
average_alignment_shuffled_r2,-0.028329858966171743
standard_error_alignment_shuffled_r2,0.004644654531420106
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
