metric,value
average_alignment_r2,0.9352661919593811
standard_error_alignment_r2,0.006015452621724688
average_alignment_normalized_mse,0.06473380289971828
standard_error_alignment_normalized_mse,0.006015452891588318
average_alignment_mse,0.06541758574545384
standard_error_alignment_mse,0.006181095799526909
average_alignment_shuffled_r2,-0.017969723120331765
standard_error_alignment_shuffled_r2,0.0010203700623500028
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
