metric,value
average_alignment_r2,0.7679861044883728
standard_error_alignment_r2,0.06171507812047552
average_alignment_normalized_mse,0.23201389789581298
standard_error_alignment_normalized_mse,0.061715077962812406
average_alignment_mse,0.23633136600255966
standard_error_alignment_mse,0.06343020393818417
average_alignment_shuffled_r2,-0.038437910340726376
standard_error_alignment_shuffled_r2,0.007069264448287249
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
