metric,value
average_alignment_r2,0.774646189212799
standard_error_alignment_r2,0.01058139904284006
average_alignment_normalized_mse,0.22535381555557252
standard_error_alignment_normalized_mse,0.010581398271389887
average_alignment_mse,0.22930670469999315
standard_error_alignment_mse,0.011173663924748068
average_alignment_shuffled_r2,-0.01741835966706276
standard_error_alignment_shuffled_r2,0.0005148486067409569
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
