metric,value
average_alignment_r2,0.9025155806541443
standard_error_alignment_r2,0.008569108168761424
average_alignment_normalized_mse,0.0974844168126583
standard_error_alignment_normalized_mse,0.008569107057692697
average_alignment_mse,0.09833459198474884
standard_error_alignment_mse,0.00901015404538454
average_alignment_shuffled_r2,-0.021303881257772446
standard_error_alignment_shuffled_r2,0.002023695550703823
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
