metric,value
average_alignment_r2,0.7616743850708008
standard_error_alignment_r2,0.011120545937186112
average_alignment_normalized_mse,0.2383256208896637
standard_error_alignment_normalized_mse,0.011120547217939415
average_alignment_mse,0.24201653629541398
standard_error_alignment_mse,0.012149331095658454
average_alignment_shuffled_r2,-0.020626438893377782
standard_error_alignment_shuffled_r2,0.0010373442055311105
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
