metric,value
average_alignment_r2,0.8621089339256287
standard_error_alignment_r2,0.009974209503832305
average_alignment_normalized_mse,0.13789106041193008
standard_error_alignment_normalized_mse,0.009974209419616503
average_alignment_mse,0.13873382657766342
standard_error_alignment_mse,0.01036908556022133
average_alignment_shuffled_r2,-0.01762452833354473
standard_error_alignment_shuffled_r2,0.0009345883692683403
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
