metric,value
average_alignment_r2,0.8339077162742615
standard_error_alignment_r2,0.0074574582074614214
average_alignment_normalized_mse,0.16609228134155274
standard_error_alignment_normalized_mse,0.00745745831175953
average_alignment_mse,0.1661838847398758
standard_error_alignment_mse,0.007943645686536644
average_alignment_shuffled_r2,-0.019599698968231678
standard_error_alignment_shuffled_r2,0.0007888810894308609
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
