metric,value
average_alignment_r2,0.8954506921768188
standard_error_alignment_r2,0.010664119796673699
average_alignment_normalized_mse,0.10454930305480957
standard_error_alignment_normalized_mse,0.010664121260099139
average_alignment_mse,0.10551110103726387
standard_error_alignment_mse,0.010812888643450206
average_alignment_shuffled_r2,-0.027522030621767044
standard_error_alignment_shuffled_r2,0.0029396048690444815
average_alignment_neural_predictivity,0.9490353989601136
standard_error_alignment_neural_predictivity,0.004601818562949562
average_alignment_blind_neural_predictivity,0.9436076951026916
standard_error_alignment_blind_neural_predictivity,0.0043708261931477204
average_alignment_ps_np_gain,0.005427710465155542
standard_error_alignment_ps_np_gain,0.0011737534850733266
average_alignment_shuffled_neural_predictivity,0.0029212512075901032
standard_error_alignment_shuffled_neural_predictivity,0.00020290431193314677
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
