metric,value
average_alignment_r2,0.8562291598320008
standard_error_alignment_r2,0.005076301535775192
average_alignment_normalized_mse,0.14377085059881212
standard_error_alignment_normalized_mse,0.0050763014128741716
average_alignment_mse,0.1440940573811531
standard_error_alignment_mse,0.005381082935989475
average_alignment_shuffled_r2,-0.017398897409439087
standard_error_alignment_shuffled_r2,0.000695772570179453
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
