metric,value
average_alignment_r2,0.8418831443786621
standard_error_alignment_r2,0.005668452715740287
average_alignment_normalized_mse,0.15811686247587203
standard_error_alignment_normalized_mse,0.005668451604519129
average_alignment_mse,0.15895841747522355
standard_error_alignment_mse,0.006324931120482264
average_alignment_shuffled_r2,-0.018524368293583393
standard_error_alignment_shuffled_r2,0.001019560752511416
average_alignment_neural_predictivity,0.9167728328704834
standard_error_alignment_neural_predictivity,0.002991573762397853
average_alignment_blind_neural_predictivity,0.8930609440803527
standard_error_alignment_blind_neural_predictivity,0.004315533766506653
average_alignment_ps_np_gain,0.02371188148856163
standard_error_alignment_ps_np_gain,0.0018777348661823817
average_alignment_shuffled_neural_predictivity,0.003650183593854308
standard_error_alignment_shuffled_neural_predictivity,0.00020754150017526923
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
