metric,value
average_alignment_r2,0.9230323100090027
standard_error_alignment_r2,0.006054711063898914
average_alignment_normalized_mse,0.07696769624948502
standard_error_alignment_normalized_mse,0.00605471099446547
average_alignment_mse,0.0763832913339138
standard_error_alignment_mse,0.00584490499507665
average_alignment_shuffled_r2,-0.021051521636545657
standard_error_alignment_shuffled_r2,0.0014345965703004195
average_alignment_neural_predictivity,0.9610554075241089
standard_error_alignment_neural_predictivity,0.0028911769749117634
average_alignment_blind_neural_predictivity,0.9516755557060241
standard_error_alignment_blind_neural_predictivity,0.0033699181059348563
average_alignment_ps_np_gain,0.009379859995096922
standard_error_alignment_ps_np_gain,0.0012747757200612703
average_alignment_shuffled_neural_predictivity,0.0032145546842366458
standard_error_alignment_shuffled_neural_predictivity,0.00027505902057027316
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
