metric,value
average_alignment_r2,0.8235935091972351
standard_error_alignment_r2,0.014619987238686205
average_alignment_normalized_mse,0.17640649467706682
standard_error_alignment_normalized_mse,0.014619986993689504
average_alignment_mse,0.17560683518648149
standard_error_alignment_mse,0.014559059186913382
average_alignment_shuffled_r2,-0.02173069626092911
standard_error_alignment_shuffled_r2,0.0020337641193167453
average_alignment_neural_predictivity,0.9096594500541687
standard_error_alignment_neural_predictivity,0.006436671291425134
average_alignment_blind_neural_predictivity,0.8928862762451172
standard_error_alignment_blind_neural_predictivity,0.006642912491655027
average_alignment_ps_np_gain,0.01677317522466183
standard_error_alignment_ps_np_gain,0.0025455569645807963
average_alignment_shuffled_neural_predictivity,0.0033265367080457507
standard_error_alignment_shuffled_neural_predictivity,0.00030949947379250303
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
