metric,value
average_alignment_r2,0.8131840229034424
standard_error_alignment_r2,0.008590690079608571
average_alignment_normalized_mse,0.18681597471237182
standard_error_alignment_normalized_mse,0.008590689385435116
average_alignment_mse,0.18791237562894822
standard_error_alignment_mse,0.008959890467723566
average_alignment_shuffled_r2,-0.017815869078040125
standard_error_alignment_shuffled_r2,0.0005860906507255386
average_alignment_neural_predictivity,0.9008348774909973
standard_error_alignment_neural_predictivity,0.004617179598910253
average_alignment_blind_neural_predictivity,0.8742922496795654
standard_error_alignment_blind_neural_predictivity,0.006740329550054587
average_alignment_ps_np_gain,0.0265426342189312
standard_error_alignment_ps_np_gain,0.0026920505381836744
average_alignment_shuffled_neural_predictivity,0.0035195253090932964
standard_error_alignment_shuffled_neural_predictivity,0.0003167818852571905
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
