metric,value
average_alignment_r2,0.9103083205223084
standard_error_alignment_r2,0.009977483719681709
average_alignment_normalized_mse,0.08969167932868004
standard_error_alignment_normalized_mse,0.009977482900834752
average_alignment_mse,0.0902429923415184
standard_error_alignment_mse,0.010483182095005723
average_alignment_shuffled_r2,-0.020739047303795815
standard_error_alignment_shuffled_r2,0.0022105378139770883
average_alignment_neural_predictivity,0.9555505609512329
standard_error_alignment_neural_predictivity,0.003931255222410943
average_alignment_blind_neural_predictivity,0.948536970615387
standard_error_alignment_blind_neural_predictivity,0.0035944676376452
average_alignment_ps_np_gain,0.0070135893952101465
standard_error_alignment_ps_np_gain,0.0007487789566221832
average_alignment_shuffled_neural_predictivity,0.0028577285259962083
standard_error_alignment_shuffled_neural_predictivity,0.0002283323642587376
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
