metric,value
average_alignment_r2,0.8259799551963806
standard_error_alignment_r2,0.011462957503374154
average_alignment_normalized_mse,0.17402005076408386
standard_error_alignment_normalized_mse,0.011462957009417999
average_alignment_mse,0.17652156829833984
standard_error_alignment_mse,0.012333774916396196
average_alignment_shuffled_r2,-0.01880589809268713
standard_error_alignment_shuffled_r2,0.0011437617686963044
average_alignment_neural_predictivity,0.9073917627334595
standard_error_alignment_neural_predictivity,0.006143167591376333
average_alignment_blind_neural_predictivity,0.883755407333374
standard_error_alignment_blind_neural_predictivity,0.007379761642378797
average_alignment_ps_np_gain,0.02363635875284672
standard_error_alignment_ps_np_gain,0.0020384127815735115
average_alignment_shuffled_neural_predictivity,0.0032491990318521857
standard_error_alignment_shuffled_neural_predictivity,0.00027125734707565956
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
