metric,value
average_alignment_r2,0.884109399318695
standard_error_alignment_r2,0.007996639318490293
average_alignment_normalized_mse,0.11589059978723526
standard_error_alignment_normalized_mse,0.007996639354755572
average_alignment_mse,0.11510185793042182
standard_error_alignment_mse,0.008096144599559627
average_alignment_shuffled_r2,-0.01895080253481865
standard_error_alignment_shuffled_r2,0.001802535134966222
average_alignment_neural_predictivity,0.939686586856842
standard_error_alignment_neural_predictivity,0.0040621062856787665
average_alignment_blind_neural_predictivity,0.9267614388465881
standard_error_alignment_blind_neural_predictivity,0.0047566021896252655
average_alignment_ps_np_gain,0.012925141411833464
standard_error_alignment_ps_np_gain,0.001107818758781634
average_alignment_shuffled_neural_predictivity,0.0032434546016156672
standard_error_alignment_shuffled_neural_predictivity,0.0002586205370227931
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
