metric,value
average_alignment_r2,0.8776511311531067
standard_error_alignment_r2,0.011910466218679224
average_alignment_normalized_mse,0.12234887272119523
standard_error_alignment_normalized_mse,0.011910467373572113
average_alignment_mse,0.12339448750019073
standard_error_alignment_mse,0.012348315794845136
average_alignment_shuffled_r2,-0.02334709491580725
standard_error_alignment_shuffled_r2,0.0018878848441247127
average_alignment_neural_predictivity,0.9386783099174499
standard_error_alignment_neural_predictivity,0.005453946536709814
average_alignment_blind_neural_predictivity,0.9238644099235535
standard_error_alignment_blind_neural_predictivity,0.006715899880860142
average_alignment_ps_np_gain,0.014813892673701048
standard_error_alignment_ps_np_gain,0.0024744051454351113
average_alignment_shuffled_neural_predictivity,0.0033498806040734054
standard_error_alignment_shuffled_neural_predictivity,0.0003176816275069228
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
