metric,value
average_alignment_r2,0.8123910593986511
standard_error_alignment_r2,0.02420576232282255
average_alignment_normalized_mse,0.1876089382171631
standard_error_alignment_normalized_mse,0.024205762386590515
average_alignment_mse,0.1938563147187233
standard_error_alignment_mse,0.027336989971064936
average_alignment_shuffled_r2,-0.03228412628173828
standard_error_alignment_shuffled_r2,0.010542653089559829
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
