metric,value
average_alignment_r2,0.7852365112304688
standard_error_alignment_r2,0.009938729639922253
average_alignment_normalized_mse,0.21476348996162414
standard_error_alignment_normalized_mse,0.009938729395323764
average_alignment_mse,0.21548617660999297
standard_error_alignment_mse,0.009937333661408311
average_alignment_shuffled_r2,-0.020407117232680322
standard_error_alignment_shuffled_r2,0.0007144710677687141
average_alignment_neural_predictivity,0.8855753707885742
standard_error_alignment_neural_predictivity,0.0054385954412445
average_alignment_blind_neural_predictivity,0.8632097268104553
standard_error_alignment_blind_neural_predictivity,0.005855903313898952
average_alignment_ps_np_gain,0.02236564515158534
standard_error_alignment_ps_np_gain,0.0021913204188399003
average_alignment_shuffled_neural_predictivity,0.003364868089556694
standard_error_alignment_shuffled_neural_predictivity,0.0002638755885264957
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
