metric,value
average_alignment_r2,0.9022386646270752
standard_error_alignment_r2,0.012820976951829882
average_alignment_normalized_mse,0.09776133075356483
standard_error_alignment_normalized_mse,0.012820976609894192
average_alignment_mse,0.09877655625343323
standard_error_alignment_mse,0.013130761359899273
average_alignment_shuffled_r2,-0.02679199304431677
standard_error_alignment_shuffled_r2,0.003220752543908604
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
