metric,value
average_alignment_r2,0.9493070793151855
standard_error_alignment_r2,0.00543303044724887
average_alignment_normalized_mse,0.05069292109459639
standard_error_alignment_normalized_mse,0.005433031544849014
average_alignment_mse,0.05086655728518963
standard_error_alignment_mse,0.0056921987154338865
average_alignment_shuffled_r2,-0.02830953035503626
standard_error_alignment_shuffled_r2,0.006343323773241975
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
