metric,value
average_alignment_r2,0.923510913848877
standard_error_alignment_r2,0.0065907787811639905
average_alignment_normalized_mse,0.07648909226059913
standard_error_alignment_normalized_mse,0.006590778307459829
average_alignment_mse,0.07720379829406739
standard_error_alignment_mse,0.006993736516117252
average_alignment_shuffled_r2,-0.024459315054118632
standard_error_alignment_shuffled_r2,0.004155573011091093
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
