metric,value
average_alignment_r2,0.9162001323699951
standard_error_alignment_r2,0.005234435095395085
average_alignment_normalized_mse,0.08379987224936486
standard_error_alignment_normalized_mse,0.005234435118753003
average_alignment_mse,0.0842598457634449
standard_error_alignment_mse,0.00529604682296456
average_alignment_shuffled_r2,-0.021976454928517342
standard_error_alignment_shuffled_r2,0.0014744342549198204
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
