metric,value
average_alignment_r2,0.7800402784347534
standard_error_alignment_r2,0.01209500422416281
average_alignment_normalized_mse,0.2199597242474556
standard_error_alignment_normalized_mse,0.01209500359318347
average_alignment_mse,0.2234145587682724
standard_error_alignment_mse,0.0132665626391572
average_alignment_shuffled_r2,-0.017587843760848047
standard_error_alignment_shuffled_r2,0.0005175224359900367
average_alignment_neural_predictivity,0.8817583465576172
standard_error_alignment_neural_predictivity,0.006574490562974098
average_alignment_blind_neural_predictivity,0.8524213171005249
standard_error_alignment_blind_neural_predictivity,0.008358766666892972
average_alignment_ps_np_gain,0.02933702990412712
standard_error_alignment_ps_np_gain,0.0021013675127109855
average_alignment_shuffled_neural_predictivity,0.002942937100306153
standard_error_alignment_shuffled_neural_predictivity,0.00017418427961084343
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
