metric,value
average_alignment_r2,0.8175748443603515
standard_error_alignment_r2,0.01594384478369191
average_alignment_normalized_mse,0.18242515355348587
standard_error_alignment_normalized_mse,0.015943843329992973
average_alignment_mse,0.18406066447496414
standard_error_alignment_mse,0.01720408381425711
average_alignment_shuffled_r2,-0.021371759176254272
standard_error_alignment_shuffled_r2,0.0017485389785434232
average_alignment_neural_predictivity,0.9070564270019531
standard_error_alignment_neural_predictivity,0.006876505805610901
average_alignment_blind_neural_predictivity,0.8911248826980591
standard_error_alignment_blind_neural_predictivity,0.006873419712371194
average_alignment_ps_np_gain,0.015931547111831604
standard_error_alignment_ps_np_gain,0.003347484016322352
average_alignment_shuffled_neural_predictivity,0.0036131496960297225
standard_error_alignment_shuffled_neural_predictivity,0.0002715641860697632
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
