metric,value
average_alignment_r2,0.8952688217163086
standard_error_alignment_r2,0.012495333461006801
average_alignment_normalized_mse,0.10473117336630822
standard_error_alignment_normalized_mse,0.012495332790862438
average_alignment_mse,0.10675606101751328
standard_error_alignment_mse,0.013117172951695644
average_alignment_shuffled_r2,-0.031032580696046353
standard_error_alignment_shuffled_r2,0.0065397212073816605
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
