metric,value
average_alignment_r2,0.9417996144294739
standard_error_alignment_r2,0.005761665034411967
average_alignment_normalized_mse,0.05820038221776486
standard_error_alignment_normalized_mse,0.005761666182239547
average_alignment_mse,0.058839352130889894
standard_error_alignment_mse,0.006243449881187187
average_alignment_shuffled_r2,-0.01743923008441925
standard_error_alignment_shuffled_r2,0.0007611856643248291
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
