metric,value
average_alignment_r2,0.8048428845405579
standard_error_alignment_r2,0.009626312601085872
average_alignment_normalized_mse,0.19515711635351182
standard_error_alignment_normalized_mse,0.00962631338979028
average_alignment_mse,0.19502100229263306
standard_error_alignment_mse,0.009553496485613619
average_alignment_shuffled_r2,-0.016956427507102488
standard_error_alignment_shuffled_r2,0.0005662643769110707
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
