metric,value
average_alignment_r2,0.9090455102920533
standard_error_alignment_r2,0.009577973309468885
average_alignment_normalized_mse,0.0909544874727726
standard_error_alignment_normalized_mse,0.009577974634105233
average_alignment_mse,0.09151377588510513
standard_error_alignment_mse,0.009782963931866086
average_alignment_shuffled_r2,-0.024240366853773593
standard_error_alignment_shuffled_r2,0.0029384780897260985
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
