metric,value
average_alignment_r2,0.8566871309280395
standard_error_alignment_r2,0.01095283493907612
average_alignment_normalized_mse,0.1433128671348095
standard_error_alignment_normalized_mse,0.010952835665211805
average_alignment_mse,0.14634416222572327
standard_error_alignment_mse,0.010857623523867845
average_alignment_shuffled_r2,-0.023355507515370844
standard_error_alignment_shuffled_r2,0.00261156897023978
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
