metric,value
average_alignment_r2,0.833898994922638
standard_error_alignment_r2,0.005924897992234302
average_alignment_normalized_mse,0.16610100328922273
standard_error_alignment_normalized_mse,0.005924898377208713
average_alignment_mse,0.16700931787490844
standard_error_alignment_mse,0.0062437695158031005
average_alignment_shuffled_r2,-0.018110027797520162
standard_error_alignment_shuffled_r2,0.0007936848673583609
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
