metric,value
average_alignment_r2,0.9044509494304657
standard_error_alignment_r2,0.02185216869185998
average_alignment_normalized_mse,0.09554905235767365
standard_error_alignment_normalized_mse,0.021852170131531682
average_alignment_mse,0.09816440224647521
standard_error_alignment_mse,0.02424055456610474
average_alignment_shuffled_r2,-0.02389134243130684
standard_error_alignment_shuffled_r2,0.003787970834052428
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
