metric,value
average_alignment_r2,0.8597866272926331
standard_error_alignment_r2,0.009748369166954377
average_alignment_normalized_mse,0.14021337628364564
standard_error_alignment_normalized_mse,0.009748369080679322
average_alignment_mse,0.14122893914580345
standard_error_alignment_mse,0.009563157644937606
average_alignment_shuffled_r2,-0.017870671488344668
standard_error_alignment_shuffled_r2,0.0007626967232284424
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
