metric,value
average_alignment_r2,0.8013307785987854
standard_error_alignment_r2,0.00839397173101438
average_alignment_normalized_mse,0.19866921842098237
standard_error_alignment_normalized_mse,0.008393971971776267
average_alignment_mse,0.1986615252494812
standard_error_alignment_mse,0.008593105757120342
average_alignment_shuffled_r2,-0.017963525503873826
standard_error_alignment_shuffled_r2,0.0006275468217416395
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
