metric,value
average_alignment_r2,0.9150680422782898
standard_error_alignment_r2,0.007968335204943647
average_alignment_normalized_mse,0.0849319526553154
standard_error_alignment_normalized_mse,0.007968335894403777
average_alignment_mse,0.0854562485218048
standard_error_alignment_mse,0.008209499386511856
average_alignment_shuffled_r2,-0.018844860978424548
standard_error_alignment_shuffled_r2,0.0013171328015851738
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
