metric,value
average_alignment_r2,0.8584018301963806
standard_error_alignment_r2,0.010239807438085785
average_alignment_normalized_mse,0.14159817159175872
standard_error_alignment_normalized_mse,0.010239808465529786
average_alignment_mse,0.14170372277498244
standard_error_alignment_mse,0.010495252439175467
average_alignment_shuffled_r2,-0.018252616003155708
standard_error_alignment_shuffled_r2,0.0007880945785133841
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
