metric,value
average_alignment_r2,0.7914138293266296
standard_error_alignment_r2,0.010370468741142263
average_alignment_normalized_mse,0.20858616709709168
standard_error_alignment_normalized_mse,0.010370468667562428
average_alignment_mse,0.2116978245973587
standard_error_alignment_mse,0.011271500021699826
average_alignment_shuffled_r2,-0.01737033177167177
standard_error_alignment_shuffled_r2,0.0005214262250365833
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
