metric,value
average_alignment_r2,0.9047349143028259
standard_error_alignment_r2,0.009414705644165017
average_alignment_normalized_mse,0.09526508495211601
standard_error_alignment_normalized_mse,0.009414706369541346
average_alignment_mse,0.09599752336740494
standard_error_alignment_mse,0.009569412552217414
average_alignment_shuffled_r2,-0.024898719899356367
standard_error_alignment_shuffled_r2,0.0027966392293866348
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
