metric,value
average_alignment_r2,0.7885229182243347
standard_error_alignment_r2,0.012209317756697823
average_alignment_normalized_mse,0.2114770817756653
standard_error_alignment_normalized_mse,0.012209317379552229
average_alignment_mse,0.21348552227020265
standard_error_alignment_mse,0.0125085252525154
average_alignment_shuffled_r2,-0.020378089882433413
standard_error_alignment_shuffled_r2,0.0018256997738083953
average_alignment_neural_predictivity,0.8875764298439026
standard_error_alignment_neural_predictivity,0.00628283876741519
average_alignment_blind_neural_predictivity,0.862592523097992
standard_error_alignment_blind_neural_predictivity,0.007252241670789579
average_alignment_ps_np_gain,0.024983908385038375
standard_error_alignment_ps_np_gain,0.001627705091468877
average_alignment_shuffled_neural_predictivity,0.002841577110812068
standard_error_alignment_shuffled_neural_predictivity,0.00016905724812702445
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
