metric,value
average_alignment_r2,0.928307855129242
standard_error_alignment_r2,0.006644185551974965
average_alignment_normalized_mse,0.07169214218854904
standard_error_alignment_normalized_mse,0.006644185393073906
average_alignment_mse,0.07184397384524345
standard_error_alignment_mse,0.006715537557234362
average_alignment_shuffled_r2,-0.02145702429115772
standard_error_alignment_shuffled_r2,0.0019531433054045437
average_alignment_neural_predictivity,0.9640844631195068
standard_error_alignment_neural_predictivity,0.003016020408524266
average_alignment_blind_neural_predictivity,0.9561515879631043
standard_error_alignment_blind_neural_predictivity,0.004534595203882363
average_alignment_ps_np_gain,0.007932870560325682
standard_error_alignment_ps_np_gain,0.001973382520368716
average_alignment_shuffled_neural_predictivity,0.0033267444139346482
standard_error_alignment_shuffled_neural_predictivity,0.000163247438352235
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
