metric,value
average_alignment_r2,0.8385007834434509
standard_error_alignment_r2,0.010176713698315737
average_alignment_normalized_mse,0.16149922341108322
standard_error_alignment_normalized_mse,0.010176714602032932
average_alignment_mse,0.16188660740852356
standard_error_alignment_mse,0.010627936911185859
average_alignment_shuffled_r2,-0.02083576638251543
standard_error_alignment_shuffled_r2,0.0015656871103306238
average_alignment_neural_predictivity,0.9165339183807373
standard_error_alignment_neural_predictivity,0.0047354917958567005
average_alignment_blind_neural_predictivity,0.8991139125823975
standard_error_alignment_blind_neural_predictivity,0.004853130675801214
average_alignment_ps_np_gain,0.017420000098645687
standard_error_alignment_ps_np_gain,0.0011877819683207736
average_alignment_shuffled_neural_predictivity,0.003469084929674864
standard_error_alignment_shuffled_neural_predictivity,0.00028776532385095196
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
