metric,value
average_alignment_r2,0.8110204815864563
standard_error_alignment_r2,0.00841277560819743
average_alignment_normalized_mse,0.18897951602935792
standard_error_alignment_normalized_mse,0.008412776252780196
average_alignment_mse,0.1923531898856163
standard_error_alignment_mse,0.008731270818824783
average_alignment_shuffled_r2,-0.017519656047225
standard_error_alignment_shuffled_r2,0.0006308805405531865
average_alignment_neural_predictivity,0.8987081336975098
standard_error_alignment_neural_predictivity,0.004583568870753128
average_alignment_blind_neural_predictivity,0.871100058555603
standard_error_alignment_blind_neural_predictivity,0.006272748704905169
average_alignment_ps_np_gain,0.02760807229205966
standard_error_alignment_ps_np_gain,0.002202078197972867
average_alignment_shuffled_neural_predictivity,0.003428714266046882
standard_error_alignment_shuffled_neural_predictivity,0.00023496064417895005
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
