metric,value
average_alignment_r2,0.9164646291732788
standard_error_alignment_r2,0.00773767608306041
average_alignment_normalized_mse,0.08353536732494832
standard_error_alignment_normalized_mse,0.007737675895441135
average_alignment_mse,0.08397604808211327
standard_error_alignment_mse,0.007983031232000563
average_alignment_shuffled_r2,-0.020856603607535364
standard_error_alignment_shuffled_r2,0.0021866641719191686
average_alignment_neural_predictivity,0.9578194761276245
standard_error_alignment_neural_predictivity,0.0036003506975397677
average_alignment_blind_neural_predictivity,0.9459490251541137
standard_error_alignment_blind_neural_predictivity,0.005478715523499542
average_alignment_ps_np_gain,0.011870458219200374
standard_error_alignment_ps_np_gain,0.0022028900434781008
average_alignment_shuffled_neural_predictivity,0.0028466734755784274
standard_error_alignment_shuffled_neural_predictivity,0.00021055782120907697
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
