metric,value
average_alignment_r2,0.8372506189346314
standard_error_alignment_r2,0.01247376010848047
average_alignment_normalized_mse,0.16274938315153123
standard_error_alignment_normalized_mse,0.012473758211482831
average_alignment_mse,0.16403948485851289
standard_error_alignment_mse,0.013199747074439086
average_alignment_shuffled_r2,-0.020722817331552505
standard_error_alignment_shuffled_r2,0.0017526207157353532
average_alignment_neural_predictivity,0.9160550785064697
standard_error_alignment_neural_predictivity,0.0058825771115977215
average_alignment_blind_neural_predictivity,0.8978369569778443
standard_error_alignment_blind_neural_predictivity,0.007572582196306565
average_alignment_ps_np_gain,0.018218124646227806
standard_error_alignment_ps_np_gain,0.002363243400920673
average_alignment_shuffled_neural_predictivity,0.0031595155177637935
standard_error_alignment_shuffled_neural_predictivity,0.00021398233861106186
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,512
partner_hidden_dim,512
train_episodes,89
test_episodes,39
hidden_dim,512
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
