metric,value
average_alignment_r2,0.8473753476142883
standard_error_alignment_r2,0.007170515983576549
average_alignment_normalized_mse,0.15262464791536332
standard_error_alignment_normalized_mse,0.007170514445192598
average_alignment_mse,0.15219091027975082
standard_error_alignment_mse,0.007208705801021957
average_alignment_shuffled_r2,-0.008414207622408867
standard_error_alignment_shuffled_r2,0.0004665795057983768
average_alignment_neural_predictivity,0.9178014636039734
standard_error_alignment_neural_predictivity,0.004019061906989437
average_alignment_blind_neural_predictivity,0.9047323155403137
standard_error_alignment_blind_neural_predictivity,0.005033224395727712
average_alignment_ps_np_gain,0.01306914359331131
standard_error_alignment_ps_np_gain,0.0015354547266477159
average_alignment_shuffled_neural_predictivity,0.003364537009038031
standard_error_alignment_shuffled_neural_predictivity,0.00023453370082139325
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,256
partner_hidden_dim,256
train_episodes,89
test_episodes,39
hidden_dim,256
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
