metric,value
average_alignment_r2,0.7851957654953003
standard_error_alignment_r2,0.007950353812156011
average_alignment_normalized_mse,0.21480423122644424
standard_error_alignment_normalized_mse,0.007950352640026982
average_alignment_mse,0.21603300899267197
standard_error_alignment_mse,0.008163443493337873
average_alignment_shuffled_r2,-0.00871470496058464
standard_error_alignment_shuffled_r2,0.00028745280423458425
average_alignment_neural_predictivity,0.8830422067642212
standard_error_alignment_neural_predictivity,0.004428056278847567
average_alignment_blind_neural_predictivity,0.8569315218925476
standard_error_alignment_blind_neural_predictivity,0.006082799678549513
average_alignment_ps_np_gain,0.026110681379213928
standard_error_alignment_ps_np_gain,0.002571777967977318
average_alignment_shuffled_neural_predictivity,0.003295937899965793
standard_error_alignment_shuffled_neural_predictivity,0.00030314782599630415
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,256
partner_hidden_dim,256
train_episodes,89
test_episodes,39
hidden_dim,256
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
