metric,value
average_alignment_r2,0.8906344485282898
standard_error_alignment_r2,0.012122855961461138
average_alignment_normalized_mse,0.10936555206775665
standard_error_alignment_normalized_mse,0.012122855457612937
average_alignment_mse,0.11234514579176903
standard_error_alignment_mse,0.013205057409926734
average_alignment_shuffled_r2,-0.013367475140839816
standard_error_alignment_shuffled_r2,0.0017279575449644334
average_alignment_neural_predictivity,0.9460730791091919
standard_error_alignment_neural_predictivity,0.0052531026826955025
average_alignment_blind_neural_predictivity,0.9402829504013062
standard_error_alignment_blind_neural_predictivity,0.004773530396564045
average_alignment_ps_np_gain,0.005790128037333488
standard_error_alignment_ps_np_gain,0.0016611272229820943
average_alignment_shuffled_neural_predictivity,0.0028242606343701483
standard_error_alignment_shuffled_neural_predictivity,0.00033384920737704153
num_ego_agents,5
num_partner_agents,5
num_alignment_pairs,25
ego_hidden_dim,256
partner_hidden_dim,256
train_episodes,89
test_episodes,39
hidden_dim,256
num_agents,5
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
